date,Abundance,SE
2009-08-01,2858.546,
2009-09-01,1257.367,
2009-10-01,982.318,
2009-11-01,589.391,
2009-12-01,1060.904,
2010-01-01,383.104,
2010-01-01,2131.631,
2010-03-01,677.8,
2010-04-01,1483.301,527.592
2010-05-01,1532.417,711.594
2010-06-01,893.91,
2010-07-01,697.446,
2010-08-01,1198.428,
2010-10-01,199.063,112.888
2010-12-01,629.038,262.441
2011-02-01,7.963,7.963
2011-04-02,127.4,85.264
2011-06-03,23.888,23.888
2011-08-04,350.35,159.78
2011-11-05,55.738,23.888
2012-02-01,7.963,7.963
2012-05-01,199.063,75.118
2012-08-01,135.363,76.235
2012-10-01,119.438,20.039
2013-02-01,199.063,96.759
2013-05-01,143.325,20.559
2013-08-01,772.363,241.646
2014-02-10,788.288,366.246
2014-05-01,310.538,71.663
2014-09-01,167.213,104.326
2014-12-01,2492.263,1646.031
2015-02-01,2340.975,1016.085
2015-06-01,8464.138,7407.52
2015-07-01,9467.413,8333.634
2015-09-01,629.038,411.259
2015-11-01,2118.025,1570.442
2017-01-01,1263.383,512.687
2017-02-01,2059.633,1225.643
2017-03-01,886.492,507.9
2017-04-01,674.158,373.376
2017-05-01,414.05,130.805
2017-06-01,1788.908,506.366
2017-07-01,732.55,174.837
2017-08-01,966.117,410.99
2017-09-01,132.708,42.267
2017-10-01,1661.508,683.869
2017-11-01,2266.658,1220.079
2017-12-01,7256.492,4097.148
2018-01-01,233.567,92.188
2018-02-01,923.65,325.639
2018-03-01,6104.583,3694.725
2018-04-01,833.408,432.693
2018-05-01,228.258,50.303
2018-06-01,498.983,162.958
2018-07-01,376.892,90.988
2018-08-01,1072.283,562.503
2018-09-01,849.333,270.465
2018-10-01,716.625,166.668
2018-11-01,339.733,112.657
2018-12-01,514.908,196.236
2019-01-01,1343.008,156.771
2019-02-01,1380.167,318.571
2019-03-01,424.667,88.825
2019-04-01,833.408,237.123
2019-05-01,690.083,176.505
2019-06-01,514.908,145.355
2019-07-01,997.967,240.275
2019-08-01,132.708,37.158
