,day,daily_discharge
1,6/28/2006,0.009925
2,6/29/2006,0.111072917
3,6/30/2006,0.047895833
4,7/1/2006,0.159375
5,7/2/2006,0.047364583
6,7/3/2006,0.045072917
7,7/4/2006,0.013166667
8,7/5/2006,0.009708333
9,7/6/2006,0.009
10,7/7/2006,0.010552083
11,7/8/2006,0.136020833
12,7/9/2006,0.10915625
13,7/10/2006,0.278770833
14,7/11/2006,0.034052083
15,7/12/2006,0.021135417
16,7/13/2006,0.016197917
17,7/14/2006,0.01478125
18,7/15/2006,0.10353125
19,7/16/2006,0.0155
20,7/17/2006,0.011114583
21,7/18/2006,0.009979167
22,7/19/2006,0.014333333
23,7/20/2006,0.010114583
24,7/21/2006,0.009
25,7/22/2006,0.009
26,7/23/2006,0.009
27,7/24/2006,0.009
28,7/25/2006,0.009958333
29,7/26/2006,0.011635417
30,7/27/2006,0.048979167
31,7/28/2006,0.01884375
32,7/29/2006,0.054583333
33,7/30/2006,0.241989583
34,7/31/2006,0.01828125
35,8/1/2006,0.01146875
36,8/2/2006,0.015541667
37,8/3/2006,0.050489583
38,8/4/2006,0.014489583
39,8/5/2006,0.020083333
40,8/6/2006,0.030822917
41,8/7/2006,0.044177083
42,8/8/2006,0.081239583
43,8/9/2006,0.03553125
44,8/10/2006,0.024104167
45,8/11/2006,0.044197917
46,8/12/2006,0.013145833
47,8/13/2006,0.010520833
48,8/14/2006,0.009583333
49,8/15/2006,0.0155
50,8/16/2006,0.057229167
51,8/17/2006,0.016833333
52,8/18/2006,0.031364583
53,8/19/2006,0.019979167
54,8/20/2006,0.0136875
55,8/21/2006,0.009645833
56,8/22/2006,0.009058824
57,8/24/2006,0.009177419
58,8/25/2006,0.018333333
59,8/26/2006,0.118958333
60,8/27/2006,0.020885417
61,8/28/2006,0.01196875
62,8/29/2006,0.010197917
63,8/30/2006,0.009447917
64,8/31/2006,0.00925
65,9/1/2006,0.009166667
66,9/2/2006,0.009010417
67,9/3/2006,0.012958333
68,9/4/2006,0.03975
69,9/5/2006,0.10228125
70,9/6/2006,0.074072917
71,9/7/2006,0.0529375
72,9/8/2006,0.01625
73,9/9/2006,0.012333333
74,9/10/2006,0.010635417
75,9/11/2006,0.038416667
76,9/12/2006,0.01446875
77,9/13/2006,0.010177083
78,9/14/2006,0.01853125
79,9/15/2006,0.011520833
80,9/16/2006,0.009
81,9/17/2006,0.009
82,9/18/2006,0.009010417
83,9/19/2006,0.009020833
84,9/20/2006,0.009041667
85,9/21/2006,0.009020833
86,9/22/2006,0.009166667
87,9/23/2006,0.01015625
88,9/24/2006,0.009083333
89,9/25/2006,0.142166667
90,9/26/2006,0.01375
